Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Engineer / Care Transformation,$60K - $113K (Glassdoor est.),Data Engineer,"We are currently searching for a Data Engineer to develop strategies for warehouse implementation and data archiving. Design and build data models to optimize reporting. Design, build and support ETL solutions to centralize and automate data collection. Assist in the development, maintenance, and support of an enterprise data warehouse and its corresponding data marts and data pipelines. Troubleshoot and tune system performance.
Essential Functions
Design and build solutions to build a strong data architecture (ETL/Data architecture/Data reporting/Data management/Data Warehouse)
Design and develop data pipelines as needed for internal or external data sources (Data extraction/Uploading/Formatting/Storing)
Design and develop data models for efficient reporting (Data architecture)",Children's Hospital & Medical Center,3.7,"Omaha, NE",1001 to 5000 Employees,1948,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Business Intelligence Analyst,$48K - $56K (Glassdoor est.),Bi Analyst,"At Dura-Line, we aspire to create a more connected world, because we believe every company, every community, every person deserves the chance to advance their lives through better access to high-speed broadband. We take pride in our state-of-the-art quality products and being recognized a key partner with all of the major telecommunications companies across the world. In one year, Dura-Line produced over 1.4 billion feet of digital network infrastructure. Dura-Line creates what connects us. Every time you pick up your cell phone, log into the internet, or use your i-anything, it’s because our HDPE pathways protect that delicate string of glass called a fiber optic cable that carries everything from precious pictures of your puppy to the latest sports scores. Your safety, health, family, work, entertainment…your whole life; that’s our connection.
Are you an analytical and strategic thinker?
Do you want to use your intellectual curiosity and innate desire to learn in order to master market dynamics, customer stories, and provide a competitive advantage?",Dura-Line,3.3,"Knoxville, TN",501 to 1000 Employees,2007,Company - Private,Telecommunications Manufacturing,Telecommunications,$500 million to $1 billion (USD)
Data Scientist,-1,Data Scientist,"Position Summary:
This individual contributor position is responsible for developing business solutions and answering business questions using data, statistical models and machine learning techniques. The team member will work closely with cross-functional teams of software engineers, data analysts and product leaders and will require a solid background on data mining, machine learning and programming. Team member must have a passion for problem solving, comfort with ambiguity and the ability to think conceptually, analytically and creatively, and will be expected to manage projects and program execution of high complexity.
Essential Job Functions:
The team member will work with various business departments to include UW, Claims, Marketing, Advertising with understanding of business processes and business needs in these areas. Identify right business sources related to the issues and opportunities, conducts small-scope project work as assigned and performs ad-hoc analyses using statistical and machine learning algorithms. Works independently with guidance and direction from advanced level data scientists and management. Participates in discussions with colleagues regarding analysis needs. Reviews and discusses analyses with colleagues and managers as necessary. Provide data support on projects and work closely with business on implementation through either analytical process or IT process. Create monitoring procedures and reports for projects implemented",Mercury Insurance Group,3.8,"Brea, CA",1001 to 5000 Employees,1961,Company - Public,Insurance Carriers,Insurance,$2 to $5 billion (USD)
Data Scientist,-1,Data Scientist,"Our senior managers are dedicated to data driven solutions, our group has Life, Health, property and Casualty, may be opps down the road to gain P&C exp. Will gain exposure to a few lines of business. We tackle HR projects, distribution, product, operations, touch almost every department with high exposure. It is very flat from that point of view. Life in data science has been going on for two years and it is very raw-you can get in on the ground floor. Work towards solutions
PRINCIPAL DUTIES AND RESPONSIBILITIES:
Work as part of a team to build predictive models designed to support the organization in areas such as risk selection, customer segmentation and lifetime value, insurance pricing, operational efficiency and fraud detection.
Develop and automate predictive modeling processes that can be deployed through the organization to solve reoccurring analytics needs (ex: state specific implementations).",Peterson Technology Partners,4.3,"Chicago, IL",201 to 500 Employees,1997,Contract,IT Services,Information Technology,$25 to $50 million (USD)
Business Intelligence Analyst,$46K - $94K (Glassdoor est.),Bi Analyst,"Are you looking for a new opportunity in a fast paced, growing environment?
Venable LLP has an exciting opportunity for a Business Intelligence Analyst in our Baltimore office.

The Business Intelligence Analyst will be responsible for collaborating with IT peers and management on the design, development, security, documentation and quality assurance of the technical architecture of business intelligence solutions as well as supporting complete life cycle development of enterprise data warehouse, analytics reports and dashboards.

The ideal candidate will be responsible for...
Supporting the engineering of technology and information solutions encompassing Business Intelligence tools, ﻿ETL, database query, master data, meta data and visualizations


...
Venable holds certain guiding principles central to its hiring and employee development processes. We value integrity, collaboration, professionalism, hard work, and client service at every level. Interested in adding your voice to Venable? We would love to hear from you.",Venable LLP,3.5,"Baltimore, MD",1001 to 5000 Employees,1900,Company - Private,Legal,Accounting & Legal,Unknown / Non-Applicable
Data Science Manager,$137K - $155K (Glassdoor est.),Data Scientist,"About Dealerware:

Dealerware is looking for a Data Science Manager to apply their leadership and experience in data science development to manage a team of data scientists to innovate in the fleet management and connected car space. They will need a deep understanding of statistics, analytics, machine learning and programming to discover hidden opportunities, trends and patterns. Working cross functionally with our team they will understand the data science and analytics and business requirements that will help our product unlock data insights for our customers. We are looking for a strong self-starter who will work closely with product management, engineering, design and research to co-create and drive a culture of curiosity and experimentation.",Dealerware,5.0,"Austin, TX",51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,$66K - $112K (Glassdoor est.),Data Scientist,"American College of Radiology (ACR) is a progressive membership organization representing nearly 40,000 medical specialists in radiological care. As a member of our team, you will join a world leader in patient-centered care advocacy, policy and clinical research, quality and safety. Our culture encourages innovation, diversity, integrity and leadership. A nonprofit 501(c)(3), ACR (the American College of Radiology) has over 500 purpose-driven employees in the Greater Washington, DC and Philadelphia region.

If you share our core values of: Leadership• Integrity• Quality• Innovation, we want you on our team!

Data Scientist


The American College of Radiology (ACR) is a forward-thinking professional medical society, representing nearly 40,000 radiologists, radiation oncologists, and medical physicists. Founded in 1923, ACR is a world leader in radiology economic and clinical research and a primary driver of healthcare’s evolution to value-based care.

Currently, ACR is looking to hire a Data Scientist to support the Data Science Institute (DSI) team within the Informatics department. The individual in this position will work closely with staff scientists, radiologists, and the DSI team to validate, monitor, and establish best practices for Artificial Intelligence (AI) in the field of radiology ensuring that the algorithms are safe and effective.

~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~

ACR offers a rewarding employee experience: innovative culture, professional growth potential, competitive compensation and an exceptional benefits package, including a defined contribution pension plan, 403(b); generous paid time off package; insurance plans with the leading providers; flexible spending; tuition reimbursement; training opportunities; and wellness reimbursement.

To learn more about ACR’s rewarding employee experience, culture, and benefits,

visit https://www.acr.org/About-ACR/Work-With-Us",American College of Radiology,3.8,"Reston, VA",201 to 500 Employees,1923,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,$100 to $500 million (USD)
Research Scientist - Gene therapy,$42K - $93K (Glassdoor est.),Research Scientist,"PRIMARY FUNCTION:
Non-small cell lung cancer (NSCLC) is the leading cause of cancer-related death worldwide and in the United States. There is a high unmet need for new treatment options to treat NSCLC due to the high rate of chemoresistance in NSCLC. Gene Editing Institute at Christiana Care Health System has identified a specific target to reduce the chemoresistance and is currently developing CRISPR gene therapy strategy to treat NSCLC. This platform protocol is also applicable to other cancers.
The Research Scientist will participate in all aspects of preclinical development work in new, targeted delivery system utilizing CRISPR gene therapy to treat NSCLC. The successful candidate will work on the design and evaluation of gene and cell delivery systems including adeno-associated virus, lentiviral vector, and lipid nano particles in experimental lung cancer models. The Research Scientist is also involved in the development of proof-of-concept and preclinical studies for other solid cancers, included but not limited to, lung cancer, brain cancer and melanoma, etc. The ideal candidate will have advanced expertise in adeno-associated virus biology and at least one area in lipid nano particle delivery, animal models in Non-small cell lung cancers, or CRISPR.",Christiana Care Health Systems,3.5,"Newark, DE",10000+ Employees,1970,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
"Sr Scientist, Upstream",-1,Research Scientist,"NexImmune is a clinical-stage biotechnology company developing a novel approach to immunotherapy designed to employ the body’s own T cells to generate a specific, potent, and durable immune response that mimics natural biology. We are seeking highly skilled and motivated individuals to join an entrepreneurial team of experienced professionals dedicated to science, patients and addressing diseases with significant unmet need. We are a company with an uncompromising commitment to shared values, a strong work ethic, and respect for individuals. We set clear expectations, empower people to succeed, and reward results. Our executive team, Board of Directors, and investors include several successful industry veterans committed to building an exceptional company capable of transforming the field of immunotherapy.
The backbone of NexImmune’s approach is its proprietary Artificial Immune Modulation (AIMTM) nanoparticle technology platform. The AIM technology enables NexImmune to construct nanoparticles that function as synthetic dendritic cells capable of directing a specific T cell-mediated immune response. By mimicking natural T cell biology, NexImmune’s T cell product candidates are designed to combine the attributes of cellular precision, potency, and persistence with reduced potential for undesired toxicities.",NexImmune,-1,"Gaithersburg, MD",-1,-1,-1,-1,-1,-1
Core Measure Data Analyst,-1,Data Analyst,"For more than a century, Salt Lake Regional Medical Center has provided high-quality healthcare for residents of the Salt Lake Valley. Conveniently located near the heart of the city, this historic hospital remains one of the most trusted medical centers in all of Utah. Today you ?ll find the most advanced medical technology in a world-class facility, a staff committed to staying on the leading edge of healthcare and patients who still find the kind of comfort and caring for which Salt Lake Regional always has been known.Some areas of expertise include: Emergency Medicine, Heart Care, Cancer Care, Women ?s Health, Men ?s Health, Diagnostic Imaging, Surgical Services, and Behavioral Health among others.Cardiac Core Measure Data Abstractor Collection/aggregation/analysis/follow up of data pertinent to core measures and specific departments. Facilitates process improvement by continuously educating staff and physicians on data collected, and leading related quality improvement initiatives. Demonstrates support of the Medical Center ?s mission, values and vision in all actions and interactions with employees, patients, medical staff, guests and visitors through use of STAR key words: Service, Teamwork, Accountability/Attitude, Responsiveness.Requirements: Must be graduate from an accredited School of Nursing. Current RN license in the State of Utah. Bachelor of Science degree is preferred. Must have at least 2 years experience in acute clinical nursing. Preferred case management and/or quality experience. Ability to communicate effectively in English, both verbal and written. Steward Health Care is an equal opportunity employerMinority/Female/Disabled/Veteran ?Salt Lake Regional Medical Center is directly or indirectly owned by an entity that proudly includes physician owners, including certain members of the hospital's medical staff. ?

West · Quality Assurance
Part Time, Day Shift, Varies",Salt Lake Regional Medical Center,2.7,"Salt Lake City, UT",10000+ Employees,-1,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
Scientist Nanoparticle Platform Development,$68K - $104K (Glassdoor est.),Research Scientist,"NexImmune is a clinical-stage biotechnology company developing a novel approach to immunotherapy designed to employ the body’s own T cells to generate a specific, potent, and durable immune response that mimics natural biology. We are seeking highly skilled and motivated individuals to join an entrepreneurial team of experienced professionals dedicated to science, patients and addressing diseases with significant unmet need. We are a company with an uncompromising commitment to shared values, a strong work ethic, and respect for individuals. We set clear expectations, empower people to succeed, and reward results. Our executive team, Board of Directors, and investors include several successful industry veterans committed to building an exceptional company capable of transforming the field of immunotherapy.
The backbone of NexImmune’s approach is its proprietary Artificial Immune Modulation (AIMTM) nanoparticle technology platform. The AIM technology enables NexImmune to construct nanoparticles that function as synthetic dendritic cells capable of directing a specific T cell-mediated immune response. By mimicking natural T cell biology, NexImmune’s T cell product candidates are designed to combine the attributes of cellular precision, potency, and persistence with reduced potential for undesired toxicities.",NexImmune,-1,"Gaithersburg, MD",-1,-1,-1,-1,-1,-1
Computer Scientist AI ML JR-MID,-1,Machine Learning Engineer,"J&F Alliance Group Inc. is seeking an experienced professional with knowledge in Machine Learning and Artificial Intelligence, specifically experience in the sub-fields of natural language processing (NLP), predictive analysis, and computer vision. Experience with data analysis and deep learning are both highly desirable.
The position will require the candidate to utilize their wide understanding of machine learning and artificial intelligence concepts for a broad range of applications, both interdisciplinary and purely within computer science. Knowledge of algorithms for computer vision and natural language processing and with experience learning new techniques and tools is required. Familiarity with popular natural language processing libraries such as NLTK, Spacy, or PyTorch-NLP is required. Familiarity with popular computer vision libraries such as OpenCV, TensorFlow, or PyTorch-CV is also required. Familiarity with deep learning architectures using standard frameworks such as TensorFlow, Caffe, or Keras is preferred.",J&F ALLIANCE GROUP INC.,-1,"Cape Canaveral, FL",-1,-1,-1,-1,-1,-1
"Scientist, Cell Line Development",-1,Clinical Laboratory Scientist,"NexImmune is a clinical-stage biotechnology company developing a novel approach to immunotherapy designed to employ the body’s own T cells to generate a specific, potent, and durable immune response that mimics natural biology. We are seeking highly skilled and motivated individuals to join an entrepreneurial team of experienced professionals dedicated to science, patients and addressing diseases with significant unmet need. We are a company with an uncompromising commitment to shared values, a strong work ethic, and respect for individuals. We set clear expectations, empower people to succeed, and reward results. Our executive team, Board of Directors, and investors include several successful industry veterans committed to building an exceptional company capable of transforming the field of immunotherapy.
The backbone of NexImmune’s approach is its proprietary Artificial Immune Modulation (AIMTM) nanoparticle technology platform. The AIM technology enables NexImmune to construct nanoparticles that function as synthetic dendritic cells capable of directing a specific T cell-mediated immune response. By mimicking natural T cell biology, NexImmune’s T cell product candidates are designed to combine the attributes of cellular precision, potency, and persistence with reduced potential for undesired toxicities.",NexImmune,-1,"Gaithersburg, MD",-1,-1,-1,-1,-1,-1
Operational Data Scientist,$100K - $160K (Glassdoor est.),Data Scientist,"Are you a creative thinker passionate about solving difficult engineering problems related to our greatest national security challenges?
Are you interested in contributing to groundbreaking innovations for missile defense applications?
Do you find analyzing and understanding complex dynamic systems exciting and challenging?
If so, we're looking for someone like you to join our team at APL!
We are seeking a creative and motivated person to help us solve complex problems for the Navy and the Missile Defense Agency (MDA). You will be a member of a high-impact analysis team, joining engineers, analysts, and operational experts. With our team, you will contribute to the advancement of analytical capabilities to provide answers and guidance to our sponsors.
We are passionate about applying state-of-the-art know-how to challenging problems and are committed to delivering quality products to our sponsors. Our team strives to foster a creative, friendly, collegial environment that values inclusion, camaraderie, and hard work while maintaining a sense of humor. You will join a diverse group of 40+ hardworking engineers and scientists that organizes many opportunities to socialize over coffee breaks, happy hours, potlucks, and holiday gatherings.
As an operational data scientist...
You meet our minimum qualifications for this job if you...
You'll go above and beyond our minimum requirements if you...
Why work at APL?
The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation's most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.
At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at www.jhuapl.edu/careers.",Johns Hopkins Applied Physics Laboratory (APL),4.7,"Laurel, MD",5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
HR Systems & Data Analyst,$27K - $48K (Glassdoor est.),Hr Analyst,"Are you someone who looks at data and sees great opportunities?
Do you thrive on using technology to create innovative solutions?
Are you ready for a career where you can positively influence change?
If your answer is YES, we’d like to meet you.

We like to say working for Seneca Gaming Corporation is “The Best 8 Hours.” There is no such thing as a typical workday. As a HR Systems & Data Analyst, you’ll create solutions and insights that our Human Resources and Leaders rely on to make informed, data-driven decisions.

We’ll count on you to understand our systems, scrutinize our data, and always ask “how can we do things better?” You will be a champion for HR technologies that allow us to work smarter and continually improve and grow our business.

If just reading this has you saying “sign me up,” then apply.",Seneca Gaming Corporation,3.3,"Niagara Falls, NY",1001 to 5000 Employees,-1,Unknown,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable
Scientist - Analytical,$43K - $96K (Glassdoor est.),Research Scientist,"Position Overview:
Catalent hires people with a passion to make a difference to the health of millions of people globally. Your expertise, coupled with Catalent’s advanced technologies and collaboration with thousands of innovative pharmaceutical, biotech and healthcare companies, will help bring life-enhancing products to the people you know and love. Your talents , ideas and passion are essential to our mission; to develop, manufacture and supply products that help people live better, healthier lives. Interested in learning more about life at Catalent? Start here
Overview
In this role, you will be independently conducting studies in support of the development of inhalation drug products, with focus on formulation and process development. The candidate should have strong understanding of formulation and production processes for combination drug products. Candidate also needs to have excellent problem solving and communication skills. Able to thrive in a team environment.",Catalent Pharma Solutions,3.5,"Morrisville, NC",10000+ Employees,2007,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Data Scientist - HCI,$103K - $120K (Glassdoor est.),Data Scientist,"Data Scientist - HCI
Long Beach, CA
Full-time

About SCAN
As one of the nation’s largest not-for-profit Medicare Advantage plans, serving more than 200,000 members in California, SCAN Health Plan has been a mission-driven organization dedicated to keeping seniors healthy and independent for over 40 years. SCAN employees are passionate about what they do, and understand that success is based on achieving the mission. Employees are afforded with the training and tools necessary to do their jobs and are rewarded for their efforts and recognized as experts in their fields. To learn more, visit scanhealthplan.com or follow us on social media: LinkedIn; Facebook; and Twitter.",SCAN Group,4.1,"Long Beach, CA",501 to 1000 Employees,1977,Nonprofit Organization,Insurance Carriers,Insurance,$2 to $5 billion (USD)
Scientist/Sr~ Nano Immunotherapy Autoimmune Biology,-1,Research Scientist,"NexImmune is a clinical-stage biotechnology company developing a novel approach to immunotherapy designed to employ the body’s own T cells to generate a specific, potent, and durable immune response that mimics natural biology. We are seeking highly skilled and motivated individuals to join an entrepreneurial team of experienced professionals dedicated to science, patients and addressing diseases with significant unmet need. We are a company with an uncompromising commitment to shared values, a strong work ethic, and respect for individuals. We set clear expectations, empower people to succeed, and reward results. Our executive team, Board of Directors, and investors include several successful industry veterans committed to building an exceptional company capable of transforming the field of immunotherapy.
The backbone of NexImmune’s approach is its proprietary Artificial Immune Modulation (AIMTM) nanoparticle technology platform. The AIM technology enables NexImmune to construct nanoparticles that function as synthetic dendritic cells capable of directing a specific T cell-mediated immune response. By mimicking natural T cell biology, NexImmune’s T cell product candidates are designed to combine the attributes of cellular precision, potency, and persistence with reduced potential for undesired toxicities.",NexImmune,-1,"Gaithersburg, MD",-1,-1,-1,-1,-1,-1
Field Application Scientist/Engineer,-1,Applications Scientist,"Field Applications Engineer/Scientist
Job Description
About Scienion US, INC
SCIENION US, INC is a life science company well positioned in the markets of ultra-low volume liquid handling systems and microarray technologies. We provide our customers with an integrated product portfolio facilitating and improving multiplex analysis, high throughput screening and high throughput production of microarrays in the genomics and proteomics fields – from early research to manufacturing.
We provide our customers in the pharmaceutical, biotech, diagnostic and reagent supply markets, as well as in academic research institutions, with high quality products and services, to facilitate confidence and efficiency in all aspects of their applications. Based on SCIENION’s long standing expertise and proprietary platform technologies our product portfolio comprises hardware, consumables and services. SCIENION US, INC is subsidiary of SCIENION AG, based in Berlin Germany.","Scienion US, Inc",-1,"Phoenix, AZ",-1,-1,-1,-1,-1,-1
MSAT Scientist / Engineer,-1,Applications Scientist,"Field Applications Engineer/Scientist
Job Description
About Scienion US, INC
SCIENION US, INC is a life science company well positioned in the markets of ultra-low volume liquid handling systems and microarray technologies. We provide our customers with an integrated product portfolio facilitating and improving multiplex analysis, high throughput screening and high throughput production of microarrays in the genomics and proteomics fields – from early research to manufacturing.
We provide our customers in the pharmaceutical, biotech, diagnostic and reagent supply markets, as well as in academic research institutions, with high quality products and services, to facilitate confidence and efficiency in all aspects of their applications. Based on SCIENION’s long standing expertise and proprietary platform technologies our product portfolio comprises hardware, consumables and services. SCIENION US, INC is subsidiary of SCIENION AG, based in Berlin Germany.",Thermo Fisher - America,-1,"Carlsbad, CA",-1,-1,-1,-1,-1,-1
Data Engineer (Machine Learning),-1,Machine Learning Engineer,"We are adding a data engineer with machine learning skills to a small team of top performers. This team is focused on developing complex algorithms and AI-based forecasting applications in the financial industry. The position is part of product science team whose mission is to help make the complex invisible to the user.
As a data engineer, you will:
Mostly play the data engineer role, but sometimes the machine learning engineer role depending on the problem we are trying to solve and the product we are trying to build
Closely collaborate with ML engineers and data scientists to create scalable ML solutions for business problems
Analyze and extract relevant information from a large amount of historical data
Maintain and update the architecture of our data platform",CreditXpert Inc.,4.1,"Baltimore, MD",-1,-1,-1,-1,-1,-1
Data Scientist-Junior,$44K - $76K (Glassdoor est.),Data Scientist,"Business Group Highlights


Defense
The Defense group supports the Department of Defense (DoD) mission to keep our homeland and its citizens safe. We provide solutions to improve the Nation's defense by providing software, systems engineering, IT, training and logistics and fleet management solutions.


Responsibilities

This position is for a large contract for the Army, providing leadership and support existing systems, processes, and policies as well as working to implement new technologies and processes in support of the client’s mission to provide Intelligence training and technologies to military personnel.",Perspecta,3.6,"Washington, DC",10000+ Employees,2018,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
Data Engineer,-1,Data Engineer,"Position Description:
Design coherent architectures for platforms that enable the collection, analysis, and visualization of IC data
Serve as a subject matter expert in capturing and aligning data from IC components
Recommend improvements to databases, applications, and processes that support the National Intelligence Priorities Framework
Build and implement customer web-based data visualization and exploration tools and capabilities
Required Qualifications:
TS/SCI with poly",Reithorp Solutions LLC,-1,"Washington, DC",-1,-1,-1,-1,-1,-1
Analytics Manager,$52K - $95K (Glassdoor est.),Data Analyst,"Title: Manager, Analytics
Department: Analytics
Wage Category: Salaried, Exempt
Reports to: Director, Analytics
Salary range: Commensurate with experience

Job Statement
The Manager of Analytics is responsible for overseeing the design and delivery of reports and insights that analyze business functions, key operations, and performance metrics. This position will lead a team of analysts using data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.",MediRevv,2.8,"Coralville, IA",501 to 1000 Employees,2007,Company - Private,Health Care Services & Hospitals,Health Care,$5 to $10 million (USD)
Lead Data Scientist,-1,Data Scientist,"Secure our Nation, Ignite your Future
Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement. ManTech is seeking a motivated, career and customer-oriented data science and machine learning professionals to join our dynamic modeling team in Portsmouth, VA.
The Navy and Marine Corps Public Health Center (NMCPHC) is the Navy and Marine Corps center for public health (PH) services to maximize readiness through force health protection (FHP) strategies and solutions for current and potential PH threats. NMCPHC provides leadership and expertise to ensure mission readiness in support of the National Military Strategy.",ManTech International Corporation,4.3,"Portsmouth, VA",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD)
"Scientist I, BioPharma Regulatory LBA - $5,000 Sign on Bonus",$33K - $73K (Glassdoor est.),Research Scientist,"KCAS Bioanalytical & Biomarker Services is seeking an individual interested in bioanalysis to work as a Scientist I within its GLP bioanalytical laboratory in Shawnee, Kansas. KCAS is a contract research organization (CRO) providing bioanalytical & biomarker services to pharmaceutical clients in support of drug developments, preclinical and clinical studies.

KCAS offers a full, competitive benefits package including paid time off, health, dental, vision, 401k, and more. Please see the careers page of the KCAS website for a full list of benefits.

This job ad is meant to provide a brief overview of the nature and level of work being performed and does not imply that these are the only duties to be performed.


The Scientist I acts as lead scientist for studies, with ability to carry out all aspects from study setup through reporting, as well as development. Utilize a strong base in scientific principles/theory to assess data integrity and troubleshooting.",Kcas Bioanalytical & Biomarker Services,3.7,"Shawnee, KS",51 to 200 Employees,1979,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD)
Staff Scientist II - Cell and Molecular Biology,$51K - $110K (Glassdoor est.),Research Scientist,"PRIMARY FUNCTION:
Staff Scientist II will utilize their experience and knowledge to work with a cross-functional team of cell and molecular biologists within the Gene Editing Institute. The successful candidate is expected to carry out the assigned projects mostly independently. Primary responsibilities include but are not limited to developing and optimizing CRISPR technology for mammalian cell engineering in vivo and in vitro.
PRINCIPAL DUTIES AND RESPONSIBILITIES:
Successful candidates will have a background in molecular biology; including hands-on experience with clone construction, clonal amplification, and tissue culture is desirable. Previous working with AAV, lentiviral vectors, and CRISPR/Cas9 is a plus, but not mandated.",Christiana Care Health Systems,3.5,"Newark, DE",10000+ Employees,1970,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Data Scientist,-1,Data Scientist,"Do you love analyzing data to uncover insights and trends? Can you understand data and trends to reveal meaningful business intelligence? Are you intrigued by learning market information? If so, then a career as a Data Scientist for Life Science Connect may be for you.
Life Science Connect is a subsidiary of VertMarkets, a B2B media company devoted to connecting the world’s business and community leaders. Life Science Connect fosters collaborations in the pharmaceutical, biotech, and medical device industries through websites, publications, events, and training.
In the role of Life Science Connect Data Scientist, you'll be required to take a data driven approach to understanding the needs of our clients and apply strategies to evaluate their marketing and content promotion campaign effectiveness. The Data Scientist will also be responsible for applying these insights, as well as market data they have discovered, to make recommendations on ways to maximize a client’s marketing and content promotion campaign results. The ideal candidate should have strong analytical skills, excellent time-management and organization, a problem solving mindset, and the ability to clearly communicate information in simple yet interesting ways.
Responsibilities:",VertMarkets,-1,"Cranberry Township, PA",-1,-1,-1,-1,-1,-1
Scientist Upstream Process Development,-1,Formulation Scientist,"Position: Full-Time
Type: Salary, Exempt
The successful candidate will support Manufacturing and Process Development activities. The Scientist will work in the laboratory and be responsible for execution of experiments supporting insect cell AAV production platform development.
Responsibilities
Employ proprietary technologies to generate and maintain stable Sf9 cell lines.
Perform characterization of genetically engineered insect cell lines.
Maintain small scale cultures for characterization and facilitate scale-up to support bioreactor activities.",Lacerta Therapeutics,-1,"Alachua, FL",-1,-1,-1,-1,-1,-1
Data Engineer,-1,Data Engineer,"We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
As a Data Engineer on the Alteryx Data Science team, you will be part of an innovative and groundbreaking team, being primarily responsible for engineering a world class enterprise data management platform and driving continuous improvement for a world class analytics company. You will work closely with data architects, other data engineers, data scientists, and line of business associates to build out new system features/functionality and help bring thoughtfully curated data system and products that the Alteryx organization can trust. Success in this role is critical to our commitment of becoming a world-class Data Science team and fostering Alteryx’s Data Science journey!","Alteryx, Inc.",3.6,"Ann Arbor, MI",1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Sr. Validation Scientist 30557- Process Validation & Sterilization,-1,Research Scientist,"Education:
Doctorate degree in Sciences or Master’s degree in Sciences and 3 years of directly related experience or Bachelor’s degree in Sciences and 5 years of directly related experience
Requirements:
Validation expertise
Sterilization
Kaye Validator & Data loggers
Process Validation",CIS International LLC,-1,"Juncos, PR",-1,-1,-1,-1,-1,-1
LEAD DATA SCIENTIST,$77K - $127K (Glassdoor est.),Data Scientist,"Overview:
Job Description
Type of Opportunity: Full Time
FTE: 1.000000
Exempt: Yes
Work Schedule: Weekday Schedule Monday-Friday
Summary:
Identify new opportunities for innovative analytics (i.e., descriptive, prescriptive and predictive) based on market developments & business demands as well as manage analytical projects in concert with other Directors within the Analytics Organization (AO). Collaborate across the organization to perform exploration and experimentation to build prototypes and develop analytical solutions best practices Guide the development of new analytical models to support real time and data driven business decision making. Responsible for mentoring and supporting fellow junior scientist as well as assisting senior leadership in evaluation, development and implementation of cutting edge reporting/research/analytics generating actionable insights to meet organizations needs
Responsibilities:



















Qualifications:









Benefits:",Presbyterian Healthcare Services,3.6,"Albuquerque, NM",10000+ Employees,1908,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
Product Strategy Leader - Data Science Technologies,$98K - $158K (Glassdoor est.),Data Scientist,"What We'll Bring:
At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation. We’re consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius.

Come be a part of our team – you’ll work with great people, pioneering products and cutting-edge technology.
What You'll Bring:
Advanced knowledge of the product management lifecycle management and go to market processes for B2B software in the data science and machine learning platform space


Sr Advisor, Product Management",TransUnion,4.0,"Chicago, IL",5001 to 10000 Employees,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD)
